Region,Provincia,Cantidad
AMAZONAS,BAGUA,6357
AMAZONAS,BONGARA,2179
AMAZONAS,CHACHAPOYAS,1979
AMAZONAS,CONDORCANQUI,6833
AMAZONAS,LUYA,4907
AMAZONAS,RODRIGUEZ DE MENDOZA,448
AMAZONAS,UTCUBAMBA,9527
ANCASH,AIJA,249
ANCASH,ANTONIO RAYMONDI,1478
ANCASH,ASUNCION,373
ANCASH,BOLOGNESI,343
ANCASH,CARHUAZ,2564
ANCASH,CARLOS F.FITZCARRALD,2574
ANCASH,CASMA,1033
ANCASH,CORONGO,385
ANCASH,HUARAZ,1413
ANCASH,HUARI,6330
ANCASH,HUARMEY,387
ANCASH,HUAYLAS,4546
ANCASH,MARISCAL LUZURIAGA,2567
ANCASH,OCROS,203
ANCASH,PALLASCA,2715
ANCASH,POMABAMBA,3303
ANCASH,RECUAY,1047
ANCASH,SANTA,1849
ANCASH,SIHUAS,3355
ANCASH,YUNGAY,3470
APURIMAC,ABANCAY,6241
APURIMAC,ANDAHUAYLAS,15511
APURIMAC,ANTABAMBA,1514
APURIMAC,AYMARAES,2926
APURIMAC,CHINCHEROS,5608
APURIMAC,COTABAMBAS,6250
APURIMAC,GRAU,3077
AYACUCHO,CANGALLO,4213
AYACUCHO,HUAMANGA,10071
AYACUCHO,HUANCA SANCOS,1025
AYACUCHO,HUANTA,8587
AYACUCHO,LA MAR,9016
AYACUCHO,LUCANAS,3631
AYACUCHO,PARINACOCHAS,1375
AYACUCHO,PAUCAR DEL SARA SARA,788
AYACUCHO,SUCRE,1058
AYACUCHO,VICTOR FAJARDO,2142
AYACUCHO,VILCAS HUAMAN,2408
CAJAMARCA,CAJABAMBA,6940
CAJAMARCA,CAJAMARCA,10613
CAJAMARCA,CELENDIN,9899
CAJAMARCA,CHOTA,12614
CAJAMARCA,CONTUMAZA,2133
CAJAMARCA,CUTERVO,17941
CAJAMARCA,HUALGAYOC,10916
CAJAMARCA,JAEN,7895
CAJAMARCA,SAN IGNACIO,13265
CAJAMARCA,SAN MARCOS,5034
CAJAMARCA,SAN MIGUEL,5744
CAJAMARCA,SAN PABLO,2951
CAJAMARCA,SANTA CRUZ,4216
CUSCO,ACOMAYO,2614
CUSCO,ANTA,4368
CUSCO,CALCA,4754
CUSCO,CANAS,3947
CUSCO,CANCHIS,6828
CUSCO,CHUMBIVILCAS,9247
CUSCO,CUSCO,304
CUSCO,ESPINAR,4470
CUSCO,LA CONVENCION,6681
CUSCO,PARURO,3486
CUSCO,PAUCARTAMBO,5295
CUSCO,QUISPICANCHI,8708
CUSCO,URUBAMBA,1167
HUANCAVELICA,ACOBAMBA,5616
HUANCAVELICA,ANGARAES,5353
HUANCAVELICA,CASTROVIRREYNA,1780
HUANCAVELICA,CHURCAMPA,4195
HUANCAVELICA,HUANCAVELICA,11269
HUANCAVELICA,HUAYTARA,1896
HUANCAVELICA,TAYACAJA,10410
HUANUCO,AMBO,6024
HUANUCO,DOS DE MAYO,4177
HUANUCO,HUACAYBAMBA,2399
HUANUCO,HUAMALIES,7373
HUANUCO,HUANUCO,10686
HUANUCO,LAURICOCHA,2668
HUANUCO,LEONCIO PRADO,5613
HUANUCO,MARAÑON,3601
HUANUCO,PACHITEA,7344
HUANUCO,PUERTO INCA,1877
HUANUCO,YAROWILCA,3448
JUNIN,CHUPACA,2530
JUNIN,CONCEPCION,3471
JUNIN,HUANCAYO,5368
JUNIN,JAUJA,3482
JUNIN,JUNIN,959
JUNIN,SATIPO,10024
JUNIN,TARMA,2158
JUNIN,YAULI,410
LA LIBERTAD,ASCOPE,1710
LA LIBERTAD,BOLIVAR,1769
LA LIBERTAD,CHEPEN,3942
LA LIBERTAD,GRAN CHIMU,2503
LA LIBERTAD,JULCAN,4101
LA LIBERTAD,OTUZCO,8521
LA LIBERTAD,PACASMAYO,1340
LA LIBERTAD,PATAZ,8464
LA LIBERTAD,SANCHEZ CARRION,18171
LA LIBERTAD,SANTIAGO DE CHUCO,5906
LA LIBERTAD,TRUJILLO,4984
LA LIBERTAD,VIRU,4216
LORETO,ALTO AMAZONAS,12132
LORETO,DATEM DEL MARAÑON,6861
LORETO,LORETO,6792
LORETO,MARISCAL RAMON CASTILLA,4713
LORETO,MAYNAS,13550
LORETO,PUTUMAYO,674
LORETO,REQUENA,7244
LORETO,UCAYALI,5198
PASCO,DANIEL ALCIDES CARRION,2610
PASCO,OXAPAMPA,4734
PASCO,PASCO,4204
PIURA,AYABACA,15494
PIURA,HUANCABAMBA,16306
PIURA,MORROPON,16038
PIURA,PAITA,1298
PIURA,PIURA,26296
PIURA,SECHURA,1466
PIURA,SULLANA,2999
PIURA,TALARA,843
PUNO,AZANGARO,11202
PUNO,CARABAYA,6604
PUNO,CHUCUITO,5484
PUNO,EL COLLAO,3211
PUNO,HUANCANE,4410
PUNO,LAMPA,2847
PUNO,MELGAR,5958
PUNO,MOHO,1738
PUNO,PUNO,6725
PUNO,SAN ANTONIO DE PUTINA,1847
PUNO,SAN ROMAN,2461
PUNO,SANDIA,3957
PUNO,YUNGUYO,1531
SAN MARTIN,BELLAVISTA,2136
SAN MARTIN,EL DORADO,2495
SAN MARTIN,HUALLAGA,1798
SAN MARTIN,LAMAS,5720
SAN MARTIN,MARISCAL CACERES,1511
SAN MARTIN,MOYOBAMBA,2935
SAN MARTIN,PICOTA,1110
SAN MARTIN,RIOJA,6479
SAN MARTIN,SAN MARTIN,2563
SAN MARTIN,TOCACHE,73
